language	repo	fill_blanks_readiness	exposed	questions	distinct_verbs	launch_gate	user_topics	internal_question_families	browser_status	browser_details	build_status	node_check	notes
French	/Users/simeon/Code/VerbsFirst/proj1	launchable/exposed	yes	1428	312	none; reference exposed deck	20 user topic buckets; examples include Relationship Drama, Office & Admin, Cooking & Food; grammar families stay internal	a_object: 349; de_object: 147; pronoun_fill: 100; topic_phrase: 832	browser verified	Previous in-app smoke verified Settings, topics, Fill Blanks card flow, usage, and no console errors.	PASS: python3 /Users/simeon/Code/VerbsFirst/proj1/build.py	PASS: node --check js/script.js	Reference baseline; duplicate passe-compose rows and bad pronoun-fill rows were already corrected.
Spanish	/Users/simeon/Code/VerbsFirst/spanish-verbs	launchable/exposed	yes	691	133	none; exposed deck remains broad enough	19 user topic buttons verified in prior smoke; examples include Relationship Drama, Office & Admin, Cooking & Food; grammar families stay internal	a_contraction_al: 12; a_infinitive: 12; a_object: 36; a_person: 12; a_personal: 14; con_object: 62; de_contraction_del: 16; de_infinitive: 12; de_object: 76; en_infinitive: 4; en_object: 76; para_infinitive: 16; para_object: 16; por_object: 64; pronoun_fill: 151; zero_direct_object: 112	browser verified	Previous in-app smoke verified Settings, topics, Fill Blanks card flow, usage, optional TTS-manifest fallback, and no console errors.	PASS: python3 /Users/simeon/Code/VerbsFirst/spanish-verbs/build.py	PASS: node --check js/script.js	Existing exposed data audited PASS.
German	/Users/simeon/Code/VerbsFirst/german-verbs	launchable/exposed	yes	315	307	none after pedagogical audit; exposed deck is broad, but separable family still dominates	20 user topic cards exist; frame cards route to normal topics such as Super Everyday, Office & Admin, Travel & Tourism, Bureaucracy & Delivery, and Relationship Drama; German Modal + Infinitive etc. are internal families, not Topics	dative_recipient: 15; modal_infinitive: 12; reflexive: 12; sein_perfekt_motion: 15; separable: 261	partial	Build/data verified after prompt patch; prior in-app smoke verified Settings and Fill Blanks flow, but German was not re-smoked after the one-slot modal/reflexive/sein-Perfekt edit.	PASS: python3 /Users/simeon/Code/VerbsFirst/german-verbs/build.py	PASS: node --check js/script.js	Pedagogical audit: non-separable multi-gap issues = 0. Modal example is now "Wir ____ den Gästen sofort antworten" -> "sollen".
Portuguese	/Users/simeon/Code/VerbsFirst/portuguese-verbs	launchable/exposed	yes	672	250	raised gate met; exposed after runtime port	20 user topic buttons were visible in prior smoke; generated topic coverage uses user topics, not grammar families	a_infinitive: 48; a_object: 32; com_object: 16; de_infinitive: 32; de_object: 96; em_object: 96; sobre_object: 16; usage_sentence_cloze: 320; zero_infinitive: 16	browser verified	In-app browser verified Settings exposes Exercise type, Fill Blanks can be selected, a Portuguese fill card reveals cleanly, and console errors were 0.	PASS: python3 /Users/simeon/Code/VerbsFirst/portuguese-verbs/build.py	PASS: node --check js/script.js	Runtime now loads verb_frames.portuguese.js and supports Fill Blanks cards; sidecar expansion lifted the deck above the 100-150 verb bar.
Italian	/Users/simeon/Code/VerbsFirst/italian-verbs	launchable/exposed	yes	1241	889	raised gate met; exposed after expansion	21 topic cards verified in in-app browser; selected Super Everyday; user topics remain topical rather than grammar-family labels	a_infinitive: 64; a_object: 96; con_object: 16; da_object: 16; di_infinitive: 16; di_object: 16; in_object: 16; reflexive_a: 16; reflexive_di: 48; su_object: 48; usage_sentence_cloze: 889	browser verified	In-app browser verified Settings route, Fill Blanks can be selected through Card family, a fill card reveals cleanly, and console errors were 0.	PASS: python3 /Users/simeon/Code/VerbsFirst/italian-verbs/build.py	PASS: node --check js/script.js	Runtime flag now exposes Fill Blanks; sidecar expansion lifted the deck above the 100-150 verb bar.
Catalan	/Users/simeon/Code/VerbsFirst/catalan-verbs	hidden but full seed dataset	no	320	20	hidden until at least 60-100 distinct verbs with broader topic variety	20 topic cards verified in in-app browser; selected Super Everyday; user topics remain topical rather than grammar-family labels	a_infinitive: 64; a_object: 48; amb_object: 16; de_infinitive: 32; de_object: 32; en_object: 96; per_object: 16; zero_infinitive: 16	partial	In-app browser verified Settings, Audio/App sections, topic cards/selectability, hidden Fill Blanks, card flow, zero console errors. Open parity gap: card face still does not show the selected topic-name badge.	PASS: python3 /Users/simeon/Code/VerbsFirst/catalan-verbs/build.py	PASS: node --check js/script.js	320 rows are useful seed data, not a launch gate by themselves; skipped absent verbs: acostumar-se, començar, comptar, dependre, reaccionar, recordar-se.
Russian	/Users/simeon/Code/VerbsFirst/russian-verbs	prototype only; needs grammar design	no	88	11	hidden pending native review, grammar design, and expansion to at least 60-100 verbs	20 user topic buttons visible in prior smoke; prototype coverage uses user topics	dative_government: 16; government_instrumental: 8; instrumental_government: 8; instrumental_s: 8; object_government: 8; preposition_k: 8; prepositional_accusative: 8; prepositional_case: 16; prepositional_v: 8	browser verified	Prior in-app smoke verified Settings, topics visible, first-card flow, hidden Fill Blanks, and no console errors.	PASS: python3 /Users/simeon/Code/VerbsFirst/russian-verbs/build.py	PASS: node --check js/script.js	Case/government prototype only; not exposed.
Greek	/Users/simeon/Code/VerbsFirst/greek-verbs	prototype only; needs grammar design	no	72	9	hidden pending native review, grammar design, and expansion to at least 60-100 verbs	20 topic cards verified in in-app browser; selected Super Everyday; user topics remain topical rather than grammar-family labels	na_clause: 16; preposition_gia: 24; preposition_me: 8; preposition_se: 24	partial	In-app browser verified Settings, Audio/App sections, topic cards/selectability, hidden Fill Blanks, card flow, zero console errors. Open parity gap: card face still does not show the selected topic-name badge.	PASS: python3 /Users/simeon/Code/VerbsFirst/greek-verbs/build.py	PASS: node --check js/script.js	Greek-native prototype only; runtime helper gaps fixed earlier remain clean in browser.
Latvian	/Users/simeon/Code/VerbsFirst/latvian-verbs	prototype only; needs grammar design	no	56	7	hidden pending native review, grammar design, and expansion to at least 60-100 verbs	20 topic cards verified in in-app browser; selected Super Everyday; user topics remain topical rather than grammar-family labels	dative_government: 24; object_government: 8; preposition_par: 16; preposition_pie: 8	partial	In-app browser verified Settings, Audio/App sections, topic cards/selectability, hidden Fill Blanks, card flow, zero console errors. Open parity gap: card face still does not show the selected topic-name badge.	PASS: python3 /Users/simeon/Code/VerbsFirst/latvian-verbs/build.py	PASS: node --check js/script.js	Latvian government/preposition prototype only; runtime helper gaps fixed earlier remain clean in browser.
Ukrainian	/Users/simeon/Code/VerbsFirst/ukrainian-verbs	prototype only; needs grammar design	no	80	10	hidden pending native review, grammar design, and expansion to at least 60-100 verbs	20 topic cards verified in in-app browser; selected Super Everyday; user topics remain topical rather than grammar-family labels	dative_government: 16; instrumental_government: 8; instrumental_nad: 8; instrumental_z: 8; preposition_na: 8; preposition_pro: 16; preposition_v: 16	partial	In-app browser verified Settings, Audio/App sections, topic cards/selectability, hidden Fill Blanks, card flow, zero console errors. Open parity gap: card face still does not show the selected topic-name badge.	PASS: python3 /Users/simeon/Code/VerbsFirst/ukrainian-verbs/build.py	PASS: node --check js/script.js	Ukrainian government/preposition prototype only; initialization fix remains clean in browser.
